year,drug_name,drug_type,January_purchase,February_purchase,March_purchase,April_purchase,May_purchase,June_purchase,July_purchase,August_purchase,September_purchase,October_purchase,November_purchase,December_purchase,total_Quantity,price,total_price
2021,Erythromycin,Antibiotic,80,90,100,75,80,85,95,90,80,90,100,95,1005,22,22110
2021,Cimetidine,Acid reducer,40,50,55,35,40,45,50,45,40,50,55,50,525,12,6300
2021,Pantoprazole,Proton pump inhibitor,65,75,85,60,65,70,80,75,65,75,85,80,850,15,12750
2021,Prednisolone,Steroid,50,60,70,45,50,55,60,55,50,60,70,65,685,18,12330
2021,Spironolactone,Diuretic,25,35,40,20,25,30,35,30,25,35,40,35,385,20,7700
2021,Acetaminophen,Pain reliever,95,105,115,90,95,100,110,105,95,105,115,110,1140,8,9120
2021,Rosuvastatin,Statins,40,50,55,35,40,45,50,45,40,50,55,50,555,30,16650
2021,Diphenhydramine,Antihistamine,15,25,30,10,15,20,25,20,15,25,30,25,250,10,2500
2021,Ceftriaxone,Antibiotic,90,100,110,85,90,95,105,100,90,100,110,105,1125,22,24750
2021,Simvastatin,Statins,60,70,80,55,60,65,75,70,60,70,80,75,795,28,22260
2021,Aspirin,Blood thinner,50,60,65,45,50,55,60,55,50,60,65,60,675,18,12150
2021,Amlodipine,Calcium channel blocker,35,45,50,30,35,40,45,40,35,45,50,45,485,20,9700
2021,Metoprolol,Beta blocker,75,85,95,70,75,80,90,85,75,85,95,90,945,15,14175
2021,Lisinopril,ACE inhibitor,65,75,85,60,65,70,80,75,65,75,85,80,850,12,10200
2021,Prednisone,Steroid,20,30,35,15,20,25,30,25,20,30,35,30,305,18,5490
2021,Amoxicillin,Antibiotic,90,100,110,85,90,95,105,100,90,100,110,105,1125,20,22500
2021,Fluoxetine,SSRI antidepressant,15,25,30,10,15,20,25,20,15,25,30,25,250,10,2500
2021,Lansoprazole,Proton pump inhibitor,100,110,120,95,100,105,115,110,100,110,120,115,1215,15,18225
2021,Prednisolone,Steroid,10,20,25,5,10,15,20,15,10,20,25,20,205,20,4100
2021,Warfarin,Blood thinner,85,95,105,80,85,90,100,95,85,95,105,100,1050,10,10500
2021,Hydrochlorothiazide,Diuretic,30,40,45,25,30,35,40,35,30,40,45,40,435,25,10875
2021,Fluconazole,Antifungal,65,75,85,60,65,70,80,75,65,75,85,80,845,15,12675
2021,Bupropion,Atypical antidepressant,50,60,70,45,50,55,60,55,50,60,70,65,675,12,8100
2021,Cephalexin,Antibiotic,20,30,35,15,20,25,30,25,20,30,35,30,305,22,6710
2021,Tramadol,Analgesic,90,100,110,85,90,95,105,100,90,100,110,105,1125,8,9000
2021,Clarithromycin,Antibiotic,15,25,30,10,15,20,25,20,15,25,30,25,250,20,5000
2021,Fluticasone,Corticosteroid,100,110,120,95,100,105,115,110,100,110,120,115,1215,18,21870
2021,Valsartan,ARB,10,20,25,5,10,15,20,15,10,20,25,20,205,30,6150
2021,Sertraline,SSRI antidepressant,85,95,105,80,85,90,100,95,85,95,105,100,1050,12,12600
2021,Levothyroxine,Thyroid hormone,30,40,45,25,30,35,40,35,30,40,45,40,435,15,6525
2021,Diazepam,Benzodiazepine,65,75,85,60,65,70,80,75,65,75,85,80,845,10,8450
2021,Paroxetine,SSRI antidepressant,20,30,35,15,20,25,30,25,20,30,35,30,305,12,3660
2021,Losartan,ARB,90,100,110,85,90,95,105,100,90,100,110,105,1125,8,9000
2021,Ondansetron,Antiemetic,15,25,30,10,15,20,25,20,15,25,30,25,250,20,5000
2021,Propranolol,Beta blocker,100,110,120,95,100,105,115,110,100,110,120,115,1215,15,18225
2021,Metformin,Diabetes medication,10,20,25,5,10,15,20,15,10,20,25,20,205,25,5125
2021,Codeine,Analgesic,85,95,105,80,85,90,100,95,85,95,105,100,1050,8,8400
2021,Levofloxacin,Antibiotic,30,40,45,25,30,35,40,35,30,40,45,40,435,20,8700
2021,Albuterol,Short-acting Î²2-adrenergic agonist,65,75,85,60,65,70,80,75,65,75,85,80,845,15,12675
2021,Citalopram,SSRI antidepressant,20,30,35,15,20,25,30,25,20,30,35,30,305,12,3660
2021,Lisinopril,ARB,90,100,110,85,90,95,105,100,90,100,110,105,1125,8,9000
2021,Methylprednisolone,Steroid,15,25,30,10,15,20,25,20,15,25,30,25,250,18,4500
2021,Cetirizine,Antihistamine,100,110,120,95,100,105,115,110,100,110,120,115,1215,10,12150
2021,Aripiprazole,Atypical antipsychotic,10,20,25,5,10,15,20,15,10,20,25,20,205,25,5125
2021,Clonazepam,Benzodiazepine,85,95,105,80,85,90,100,95,85,95,105,100,1050,12,12600
2021,Metronidazole,Antibiotic,30,40,45,25,30,35,40,35,30,40,45,40,435,22,9570
2021,Hydroxyzine,Anxiolytic,65,75,85,60,65,70,80,75,65,75,85,80,845,10,8450
2021,Carvedilol,Beta blocker,20,30,35,15,20,25,30,25,20,30,35,30,305,15,4575
2021,Alprazolam,Benzodiazepine,90,100,110,85,90,95,105,100,90,100,110,105,1125,10,11250
2021,Celecoxib,NSAID,15,25,30,10,15,20,25,20,15,25,30,25,250,15,3750
2021,Escitalopram,SSRI antidepressant,100,110,120,95,100,105,115,110,100,110,120,115,1215,12,14580
2021,Pregabalin,Anticonvulsant,10,20,25,5,10,15,20,15,10,20,25,20,205,20,4100
2021,Lamotrigine,Anticonvulsant,85,95,105,80,85,90,100,95,85,95,105,100,1050,15,15750
2021,Budesonide,Corticosteroid,30,40,45,25,30,35,40,35,30,40,45,40,435,18,7830
2021,Quetiapine,Atypical antipsychotic,65,75,85,60,65,70,80,75,65,75,85,80,845,20,16900
2021,Risperidone,Atypical antipsychotic,20,30,35,15,20,25,30,25,20,30,35,30,305,22,6710
2021,Venlafaxine,SNRI antidepressant,90,100,110,85,90,95,105,100,90,100,110,105,1125,12,13500
2021,Mirtazapine,Atypical antidepressant,15,25,30,10,15,20,25,20,15,25,30,25,250,10,2500
2021,Trazodone,SARI antidepressant,100,110,120,95,100,105,115,110,100,110,120,115,1215,15,18225
2021,Baclofen,Muscle relaxant,10,20,25,5,10,15,20,15,10,20,25,20,205,25,5125
2021,Methotrexate,Chemotherapy agent,85,95,105,80,85,90,100,95,85,95,105,100,1050,20,21000
2021,Doxycycline,Antibiotic,30,40,45,25,30,35,40,35,30,40,45,40,435,22,9570
2021,Desvenlafaxine,SNRI antidepressant,65,75,85,60,65,70,80,75,65,75,85,80,845,12,10140
2021,Methylphenidate,Stimulant,20,30,35,15,20,25,30,25,20,30,35,30,305,18,5490
2021,Atomoxetine,SNRI antidepressant,90,100,110,85,90,95,105,100,90,100,110,105,1125,12,13500
2021,Buprenorphine,Opioid,15,25,30,10,15,20,25,20,15,25,30,25,250,15,3750
2021,Phenobarbital,Barbiturate,100,110,120,95,100,105,115,110,100,110,120,115,1215,10,12150
2021,Clomipramine,TCA antidepressant,10,20,25,5,10,15,20,15,10,20,25,20,205,20,4100
2021,Duloxetine,SNRI antidepressant,85,95,105,80,85,90,100,95,85,95,105,100,1050,15,15750
2021,Fluvoxamine,SSRI antidepressant,30,40,45,25,30,35,40,35,30,40,45,40,435,18,7830
2021,Lofexidine,Alpha-2 adrenergic agonist,65,75,85,60,65,70,80,75,65,75,85,80,845,22,18590
2021,Tianeptine,Tricyclic antidepressant,20,30,35,15,20,25,30,25,20,30,35,30,305,10,3050
2021,Quinapril,ACE inhibitor,90,100,110,85,90,95,105,100,90,100,110,105,1125,12,13500
2021,Prochlorperazine,Phenothiazine,15,25,30,10,15,20,25,20,15,25,30,25,250,22,5500
2021,Clemastine,First-generation antihistamine,100,110,120,95,100,105,115,110,100,110,120,115,1215,10,12150
